2016-05-02 16:04:42 startup archives unpack
2016-05-02 16:04:42 install bash:amd64 <none> 4.3-14ubuntu1
2016-05-02 16:04:42 status half-installed bash:amd64 4.3-14ubuntu1
2016-05-02 16:04:47 status unpacked bash:amd64 4.3-14ubuntu1
2016-05-02 16:04:47 status unpacked bash:amd64 4.3-14ubuntu1
2016-05-02 16:04:47 startup packages configure
2016-05-02 16:04:47 configure bash:amd64 4.3-14ubuntu1 <none>
2016-05-02 16:04:47 status unpacked bash:amd64 4.3-14ubuntu1
2016-05-02 16:04:47 status unpacked bash:amd64 4.3-14ubuntu1
2016-05-02 16:04:47 status unpacked bash:amd64 4.3-14ubuntu1
2016-05-02 16:04:47 status unpacked bash:amd64 4.3-14ubuntu1
2016-05-02 16:04:47 status unpacked bash:amd64 4.3-14ubuntu1
2016-05-02 16:04:47 status half-configured bash:amd64 4.3-14ubuntu1
2016-05-02 16:04:47 status installed bash:amd64 4.3-14ubuntu1
2016-05-02 16:04:48 startup archives unpack
2016-05-02 16:04:48 install libgdbm3:amd64 <none> 1.8.3-13.1
2016-05-02 16:04:48 status half-installed libgdbm3:amd64 1.8.3-13.1
2016-05-02 16:04:48 status unpacked libgdbm3:amd64 1.8.3-13.1
2016-05-02 16:04:48 status unpacked libgdbm3:amd64 1.8.3-13.1
2016-05-02 16:04:48 install libpcrecpp0v5:amd64 <none> 2:8.38-3.1
2016-05-02 16:04:48 status triggers-pending libc-bin:amd64 2.23-0ubuntu3
2016-05-02 16:04:48 status half-installed libpcrecpp0v5:amd64 2:8.38-3.1
2016-05-02 16:04:49 status unpacked libpcrecpp0v5:amd64 2:8.38-3.1
2016-05-02 16:04:49 status unpacked libpcrecpp0v5:amd64 2:8.38-3.1
2016-05-02 16:04:49 install perl-modules-5.22:all <none> 5.22.1-9
2016-05-02 16:04:49 status half-installed perl-modules-5.22:all 5.22.1-9
2016-05-02 16:04:49 status unpacked perl-modules-5.22:all 5.22.1-9
2016-05-02 16:04:49 status unpacked perl-modules-5.22:all 5.22.1-9
2016-05-02 16:04:50 install libperl5.22:amd64 <none> 5.22.1-9
2016-05-02 16:04:50 status half-installed libperl5.22:amd64 5.22.1-9
2016-05-02 16:04:50 status unpacked libperl5.22:amd64 5.22.1-9
2016-05-02 16:04:50 status unpacked libperl5.22:amd64 5.22.1-9
2016-05-02 16:04:50 install perl:amd64 <none> 5.22.1-9
2016-05-02 16:04:50 status half-installed perl:amd64 5.22.1-9
2016-05-02 16:04:51 status unpacked perl:amd64 5.22.1-9
2016-05-02 16:04:51 status unpacked perl:amd64 5.22.1-9
2016-05-02 16:04:51 install libgmp10:amd64 <none> 2:6.1.0+dfsg-2
2016-05-02 16:04:51 status half-installed libgmp10:amd64 2:6.1.0+dfsg-2
2016-05-02 16:04:51 status unpacked libgmp10:amd64 2:6.1.0+dfsg-2
2016-05-02 16:04:51 status unpacked libgmp10:amd64 2:6.1.0+dfsg-2
2016-05-02 16:04:51 install libmpfr4:amd64 <none> 3.1.4-1
2016-05-02 16:04:51 status half-installed libmpfr4:amd64 3.1.4-1
2016-05-02 16:04:52 status unpacked libmpfr4:amd64 3.1.4-1
2016-05-02 16:04:52 status unpacked libmpfr4:amd64 3.1.4-1
2016-05-02 16:04:52 install libmpc3:amd64 <none> 1.0.3-1
2016-05-02 16:04:52 status half-installed libmpc3:amd64 1.0.3-1
2016-05-02 16:04:52 status unpacked libmpc3:amd64 1.0.3-1
2016-05-02 16:04:52 status unpacked libmpc3:amd64 1.0.3-1
2016-05-02 16:04:52 install bzip2:amd64 <none> 1.0.6-8
2016-05-02 16:04:52 status half-installed bzip2:amd64 1.0.6-8
2016-05-02 16:04:52 status unpacked bzip2:amd64 1.0.6-8
2016-05-02 16:04:52 status unpacked bzip2:amd64 1.0.6-8
2016-05-02 16:04:53 install libffi6:amd64 <none> 3.2.1-4
2016-05-02 16:04:53 status half-installed libffi6:amd64 3.2.1-4
2016-05-02 16:04:53 status unpacked libffi6:amd64 3.2.1-4
2016-05-02 16:04:53 status unpacked libffi6:amd64 3.2.1-4
2016-05-02 16:04:53 install libnettle6:amd64 <none> 3.2-1
2016-05-02 16:04:53 status half-installed libnettle6:amd64 3.2-1
2016-05-02 16:04:53 status unpacked libnettle6:amd64 3.2-1
2016-05-02 16:04:53 status unpacked libnettle6:amd64 3.2-1
2016-05-02 16:04:54 install libhogweed4:amd64 <none> 3.2-1
2016-05-02 16:04:54 status half-installed libhogweed4:amd64 3.2-1
2016-05-02 16:04:54 status unpacked libhogweed4:amd64 3.2-1
2016-05-02 16:04:54 status unpacked libhogweed4:amd64 3.2-1
2016-05-02 16:04:54 install libidn11:amd64 <none> 1.32-3ubuntu1
2016-05-02 16:04:54 status half-installed libidn11:amd64 1.32-3ubuntu1
2016-05-02 16:04:54 status unpacked libidn11:amd64 1.32-3ubuntu1
2016-05-02 16:04:54 status unpacked libidn11:amd64 1.32-3ubuntu1
2016-05-02 16:04:54 install libp11-kit0:amd64 <none> 0.23.2-3
2016-05-02 16:04:54 status half-installed libp11-kit0:amd64 0.23.2-3
2016-05-02 16:04:55 status unpacked libp11-kit0:amd64 0.23.2-3
2016-05-02 16:04:55 status unpacked libp11-kit0:amd64 0.23.2-3
2016-05-02 16:04:55 install libtasn1-6:amd64 <none> 4.7-3
2016-05-02 16:04:55 status half-installed libtasn1-6:amd64 4.7-3
2016-05-02 16:04:55 status unpacked libtasn1-6:amd64 4.7-3
2016-05-02 16:04:55 status unpacked libtasn1-6:amd64 4.7-3
2016-05-02 16:04:55 install libgnutls30:amd64 <none> 3.4.10-4ubuntu1
2016-05-02 16:04:55 status half-installed libgnutls30:amd64 3.4.10-4ubuntu1
2016-05-02 16:04:56 status unpacked libgnutls30:amd64 3.4.10-4ubuntu1
2016-05-02 16:04:56 status unpacked libgnutls30:amd64 3.4.10-4ubuntu1
2016-05-02 16:04:56 install libsqlite3-0:amd64 <none> 3.11.0-1ubuntu1
2016-05-02 16:04:56 status half-installed libsqlite3-0:amd64 3.11.0-1ubuntu1
2016-05-02 16:04:56 status unpacked libsqlite3-0:amd64 3.11.0-1ubuntu1
2016-05-02 16:04:56 status unpacked libsqlite3-0:amd64 3.11.0-1ubuntu1
2016-05-02 16:04:56 install libssl1.0.0:amd64 <none> 1.0.2g-1ubuntu4
2016-05-02 16:04:56 status half-installed libssl1.0.0:amd64 1.0.2g-1ubuntu4
2016-05-02 16:04:57 status unpacked libssl1.0.0:amd64 1.0.2g-1ubuntu4
2016-05-02 16:04:57 status unpacked libssl1.0.0:amd64 1.0.2g-1ubuntu4
2016-05-02 16:04:57 install openssl:amd64 <none> 1.0.2g-1ubuntu4
2016-05-02 16:04:57 status half-installed openssl:amd64 1.0.2g-1ubuntu4
2016-05-02 16:04:58 status unpacked openssl:amd64 1.0.2g-1ubuntu4
2016-05-02 16:04:58 status unpacked openssl:amd64 1.0.2g-1ubuntu4
2016-05-02 16:04:58 install ca-certificates:all <none> 20160104ubuntu1
2016-05-02 16:04:58 status half-installed ca-certificates:all 20160104ubuntu1
2016-05-02 16:04:59 status unpacked ca-certificates:all 20160104ubuntu1
2016-05-02 16:04:59 status unpacked ca-certificates:all 20160104ubuntu1
2016-05-02 16:05:00 install libroken18-heimdal:amd64 <none> 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:00 status half-installed libroken18-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:00 status unpacked libroken18-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:00 status unpacked libroken18-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:00 install libasn1-8-heimdal:amd64 <none> 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:00 status half-installed libasn1-8-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:00 status unpacked libasn1-8-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:00 status unpacked libasn1-8-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:01 install libkrb5support0:amd64 <none> 1.13.2+dfsg-5
2016-05-02 16:05:01 status half-installed libkrb5support0:amd64 1.13.2+dfsg-5
2016-05-02 16:05:01 status unpacked libkrb5support0:amd64 1.13.2+dfsg-5
2016-05-02 16:05:01 status unpacked libkrb5support0:amd64 1.13.2+dfsg-5
2016-05-02 16:05:01 install libk5crypto3:amd64 <none> 1.13.2+dfsg-5
2016-05-02 16:05:01 status half-installed libk5crypto3:amd64 1.13.2+dfsg-5
2016-05-02 16:05:01 status unpacked libk5crypto3:amd64 1.13.2+dfsg-5
2016-05-02 16:05:01 status unpacked libk5crypto3:amd64 1.13.2+dfsg-5
2016-05-02 16:05:01 install libkeyutils1:amd64 <none> 1.5.9-8ubuntu1
2016-05-02 16:05:01 status half-installed libkeyutils1:amd64 1.5.9-8ubuntu1
2016-05-02 16:05:01 status unpacked libkeyutils1:amd64 1.5.9-8ubuntu1
2016-05-02 16:05:02 status unpacked libkeyutils1:amd64 1.5.9-8ubuntu1
2016-05-02 16:05:02 install libkrb5-3:amd64 <none> 1.13.2+dfsg-5
2016-05-02 16:05:02 status half-installed libkrb5-3:amd64 1.13.2+dfsg-5
2016-05-02 16:05:02 status unpacked libkrb5-3:amd64 1.13.2+dfsg-5
2016-05-02 16:05:02 status unpacked libkrb5-3:amd64 1.13.2+dfsg-5
2016-05-02 16:05:02 install libgssapi-krb5-2:amd64 <none> 1.13.2+dfsg-5
2016-05-02 16:05:02 status half-installed libgssapi-krb5-2:amd64 1.13.2+dfsg-5
2016-05-02 16:05:03 status unpacked libgssapi-krb5-2:amd64 1.13.2+dfsg-5
2016-05-02 16:05:03 status unpacked libgssapi-krb5-2:amd64 1.13.2+dfsg-5
2016-05-02 16:05:03 install libhcrypto4-heimdal:amd64 <none> 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:03 status half-installed libhcrypto4-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:03 status unpacked libhcrypto4-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:03 status unpacked libhcrypto4-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:03 install libheimbase1-heimdal:amd64 <none> 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:03 status half-installed libheimbase1-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:03 status unpacked libheimbase1-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:03 status unpacked libheimbase1-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:04 install libwind0-heimdal:amd64 <none> 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:04 status half-installed libwind0-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:04 status unpacked libwind0-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:04 status unpacked libwind0-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:04 install libhx509-5-heimdal:amd64 <none> 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:04 status half-installed libhx509-5-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:04 status unpacked libhx509-5-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:04 status unpacked libhx509-5-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:05 install libkrb5-26-heimdal:amd64 <none> 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:05 status half-installed libkrb5-26-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:05 status unpacked libkrb5-26-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:05 status unpacked libkrb5-26-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:05 install libheimntlm0-heimdal:amd64 <none> 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:05 status half-installed libheimntlm0-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:06 status unpacked libheimntlm0-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:06 status unpacked libheimntlm0-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:06 install libgssapi3-heimdal:amd64 <none> 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:06 status half-installed libgssapi3-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:06 status unpacked libgssapi3-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:06 status unpacked libgssapi3-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:06 install libsasl2-modules-db:amd64 <none> 2.1.26.dfsg1-14build1
2016-05-02 16:05:06 status half-installed libsasl2-modules-db:amd64 2.1.26.dfsg1-14build1
2016-05-02 16:05:06 status unpacked libsasl2-modules-db:amd64 2.1.26.dfsg1-14build1
